founded_year,country,region,industry,funding_round,funding_amount_usd,lead_investor,co_investors,employee_count,estimated_revenue_usd,estimated_valuation_usd,exited,exit_type,tags,funding_year,funding_month
2012,237,5,2,3,444909000,3,0,49,105814910.39996403,1680360110.789777,False,2,8817,2024,2
2023,74,1,1,5,341791000,4,124,673,35525556.694856055,1606732616.3937392,False,2,15908,2016,1
2010,205,5,0,4,370491000,5,74,126,105017815.30814466,2824679576.8002667,False,2,10817,2018,1
2019,72,3,5,5,690006000,5,99,458,147408273.3386972,6744295742.159674,False,2,13495,2020,5
2021,80,2,1,3,53603000,4,222,294,9550887.259051928,123024008.31236015,False,2,14098,2019,10
2009,91,1,6,5,429697000,6,0,426,139352434.5281719,2587391345.954977,False,2,15326,2020,10
2023,97,5,3,6,358041000,2,162,967,41247287.20428613,2118035245.9403117,False,2,15831,2023,6
2012,139,0,6,4,616431000,4,235,819,304235022.7850333,2426544984.584845,False,2,12280,2020,4
2005,57,2,0,4,1555185000,0,222,440,244065904.73421904,12170459136.92748,True,0,1692,2023,12
2015,204,1,6,3,1011684000,2,56,260,218020339.8788753,7140917535.345879,False,2,412,2021,8
2007,112,5,3,5,843692000,3,74,22,76464140.50453474,7325288264.869404,False,2,4518,2017,12
2023,218,1,6,5,4923357000,2,136,623,956859500.2525728,17193091710.45356,False,2,5023,2025,5
2008,23,3,3,6,493667000,5,164,79,175204374.61791733,1052844909.9466236,False,2,3396,2016,6
2023,41,4,2,4,254276000,6,25,665,71309638.52144858,969291517.873847,False,2,12220,2023,8
2019,45,5,4,4,137512000,6,234,829,49631103.60887583,700470007.523836,False,2,13414,2015,10
2012,199,4,2,6,744860000,3,198,686,351222714.73469985,2309190803.652676,False,2,13079,2024,7
2010,159,2,4,3,186917000,1,62,720,87124280.67149836,1685751119.3273027,False,2,5674,2023,11
2007,97,1,1,3,310436000,5,222,489,51555265.21362192,2259934458.517331,False,2,11932,2018,3
2017,200,5,4,3,568187000,5,173,545,163832607.92396393,2235712620.8788395,False,2,14901,2019,3
2013,29,1,3,5,1863295000,1,222,550,171229814.78250185,17100811085.725151,False,2,7808,2016,6
2013,196,5,0,0,588817000,5,40,305,119272777.01416524,2822598272.757625,False,2,16959,2019,2
2009,239,0,3,0,1045499000,5,241,655,393818621.3364204,9594421037.361277,False,2,1875,2021,5
2019,63,0,4,0,582767000,1,7,412,197508035.3504781,1557805959.842157,False,2,4346,2017,5
2023,59,0,3,0,647642000,0,97,612,79486994.64414874,5950815454.128437,False,2,6635,2021,8
2019,69,0,5,4,610711000,4,198,63,31926574.21953863,2007079967.113856,False,2,7719,2020,4
2013,64,5,3,2,201635000,3,15,420,59871521.92851922,1519352305.4941297,False,2,16987,2020,7
2014,92,5,5,4,119320000,6,37,808,44205751.111034594,465108488.9609455,False,2,15470,2019,2
2012,15,5,4,6,910919000,2,0,63,178931695.44139388,7261783634.069643,False,2,9553,2024,2
2008,94,2,1,3,1276604000,4,198,507,441610261.9429844,8357248290.019812,False,2,16578,2022,4
2013,238,4,3,3,696664000,6,187,592,64200127.3043856,3442722897.780777,True,1,6342,2022,5
2018,35,5,5,4,166298000,0,56,343,81129269.15539998,855566923.3330634,False,2,4664,2015,11
2018,49,5,6,3,180342000,4,21,324,81410156.93418793,1271250416.716787,False,2,15747,2021,10
2005,58,5,5,4,448786000,4,111,532,138947174.04466635,2665852365.9055414,False,2,11235,2016,11
2022,81,1,2,4,2188851000,6,7,998,301753564.08813184,17028422279.53809,False,2,5060,2017,10
2005,45,3,6,2,136219000,2,148,971,64459697.55588633,1311983574.6457236,True,1,17558,2022,11
2020,164,2,4,4,752172000,3,136,522,347269520.15440285,3731728079.108305,False,2,3458,2019,2
2015,125,3,2,5,744569000,1,67,677,360095153.2246156,6570133177.983014,False,2,12507,2024,3
2016,52,0,0,5,408353000,4,50,716,74525239.7904812,2074752502.142256,False,2,8239,2017,4
2020,231,5,5,3,270718000,6,131,131,34184031.82881452,1747324993.361597,False,2,2878,2024,5
2005,160,5,4,3,1134881000,6,0,482,534834969.81446254,8589049933.44232,False,2,14539,2017,7
2015,139,5,5,4,167336000,1,252,38,54677582.17911953,1660045208.488376,False,2,11818,2023,1
2007,23,2,3,5,523922000,6,148,172,59222993.84383757,3220358465.0057096,False,2,1207,2016,7
2006,201,0,2,3,655770000,3,185,423,238475405.61261007,4996883902.049813,False,2,4361,2016,4
2017,61,3,1,3,819839000,5,111,474,173618139.66618377,3565262352.079664,False,2,17041,2024,12
2022,82,1,3,4,779602000,1,72,708,343167191.16935873,7254917290.033041,False,2,8333,2019,12
2012,184,2,0,3,778531000,1,41,283,218069709.1074221,4680629859.352962,True,2,9559,2017,6
2014,176,1,0,5,829003000,3,138,696,303319841.2162705,6935722082.724289,False,2,10398,2020,7
2014,159,2,3,4,1542820000,6,0,933,695044118.65834,7257365503.149491,False,2,4095,2017,10
2021,214,0,5,2,189074000,2,81,766,58655682.72041977,432513995.8067617,False,2,12080,2025,3
2009,111,1,5,5,340953000,6,99,376,88483818.48434252,2162036529.099619,True,0,17441,2025,3
2008,91,2,2,5,941177000,6,210,844,59976610.18159813,2163564049.939355,False,2,2350,2016,2
2022,105,0,0,3,75058000,0,95,666,31537138.796896685,366397513.30437255,False,2,1008,2016,1
2020,193,4,3,3,474828000,5,148,466,188267924.47381824,1769478934.7541685,False,2,9025,2017,1
2020,166,3,6,6,135196000,1,222,381,44655335.3459715,362701087.0183797,False,2,8090,2021,3
2016,115,4,6,3,465156000,0,31,219,136423651.78245184,3302346746.0903983,False,2,1207,2018,5
2012,95,1,5,4,216044000,0,139,834,81392654.2462504,2118703893.2432303,False,2,4198,2017,12
2009,217,1,0,3,47684000,3,222,889,19447146.33010789,198682920.553446,True,1,7653,2020,11
2010,172,0,3,2,543128000,4,33,489,134444351.4032548,1427150859.8852978,False,2,5880,2019,10
2021,165,1,0,1,771033000,2,196,660,180443947.0157555,2610991115.8974752,False,2,13236,2016,2
2018,90,5,3,4,1146622000,4,0,331,138049469.63372272,4588716099.034277,False,2,5023,2017,11
2023,168,3,1,3,3084807000,5,60,621,1070702020.0862224,13077950358.688984,False,2,10725,2023,4
2011,31,2,6,6,690713000,4,93,410,331327688.17122257,5458825944.173475,False,2,14910,2019,9
2015,214,5,2,3,4567022000,3,154,853,1090696322.3390906,18185187033.06844,True,0,13900,2018,10
2022,242,4,0,0,1377405000,5,223,422,289513596.3469385,11105698174.273394,False,2,1639,2018,11
2023,10,3,4,2,720861000,4,74,112,189859089.2743733,2005920647.0483327,False,2,3376,2023,2
2022,117,3,0,5,1037264000,5,185,953,281334152.0892337,6003449782.775461,False,2,309,2024,12
2015,202,0,3,3,335097000,3,248,147,76846833.44206049,2321150162.4560285,False,2,2068,2020,6
2011,53,2,6,4,112133000,3,68,334,37653380.35873368,264906596.2221493,False,2,160,2015,7
2010,200,3,3,5,2159529000,1,247,499,596918253.6098392,19115975202.01261,False,2,17685,2021,11
2018,230,4,2,5,91176000,5,216,317,31584472.75042001,301197674.5886115,True,0,493,2022,6
2014,146,1,5,2,550711000,1,38,9,34105581.6528592,3682166449.109522,False,2,4475,2017,7
2022,117,5,5,3,228607000,4,21,472,108154796.66064589,1509673403.0533686,False,2,10004,2019,7
2014,27,4,6,1,2532249000,1,74,972,648797140.6624136,16117598553.027897,False,2,3236,2015,9
2018,35,3,6,4,113369000,4,229,228,53698265.75778365,576914559.5586878,False,2,2159,2018,10
2021,79,3,4,6,602650000,1,235,836,49438327.547550656,2743145308.772282,True,1,17662,2018,11
2009,144,5,3,3,223023000,2,165,780,95943131.9152533,487567415.3888887,False,2,11452,2019,6
2007,133,2,6,4,231353000,2,186,362,23869654.314138867,1752243867.3479388,False,2,12908,2019,5
2016,213,0,3,4,1126428000,2,185,610,375127874.855657,10160128362.026009,False,2,9065,2015,11
2023,194,5,4,3,1081812000,4,115,107,191389373.26012963,3699273821.883436,False,2,2094,2021,1
2012,44,5,6,0,884335000,5,206,383,342924453.37654334,7476767593.199328,False,2,16591,2025,5
2015,51,4,0,5,432358000,1,235,989,93998147.99173827,3550222839.0439057,False,2,13755,2015,9
2016,25,0,1,5,503360000,4,185,727,102364091.50979158,4754768059.326483,False,2,6657,2025,6
2021,221,4,1,5,348206000,5,1,318,135066314.96413276,2798302848.108247,False,2,14831,2021,3
2012,167,1,4,2,1481632000,2,185,791,142837830.81400424,13661274145.835676,False,2,11401,2020,9
2009,56,3,6,2,1859888000,3,102,740,360859785.5627301,17044359251.21073,False,2,14372,2017,11
2019,14,1,0,3,452754000,2,87,378,101933377.5841233,944762320.466488,False,2,13574,2018,10
2011,213,3,4,6,631961000,0,159,958,301934039.4336122,4163045049.73024,True,2,17092,2020,5
2010,0,0,6,6,383403000,3,13,838,128181877.1958919,2142288867.7044296,False,2,1485,2017,4
2021,134,0,4,3,146295000,0,112,328,51588489.38930565,1173139054.2726831,False,2,4359,2018,5
2020,118,5,5,2,116354000,6,173,7,47264224.62415482,967709835.0937402,False,2,17626,2022,3
2009,128,3,1,4,436493000,4,74,297,33130448.126175307,2791910083.457074,False,2,493,2020,6
2018,181,5,5,4,164888000,0,74,928,41005786.58970403,1500750138.2932043,False,2,10725,2016,2
2023,106,1,1,2,178430000,4,185,363,20402802.62290938,1443870736.1387885,False,2,3669,2020,5
2021,103,3,0,5,310667000,5,24,46,101960327.9843228,872657827.384311,False,2,17048,2017,10
2016,75,1,1,5,579235000,0,232,47,47927845.99611364,4966870891.544395,False,2,10664,2020,4
2010,118,1,3,5,253308000,4,37,208,93168962.73445098,671466375.4147067,True,1,15072,2020,1
2021,9,2,5,4,89959000,1,74,664,37401336.32191295,861626278.1829963,False,2,1368,2020,10
2016,96,2,6,5,94070000,4,130,710,46442404.033217855,755102287.0984691,False,2,3239,2019,8
2010,175,3,2,3,200729000,0,229,315,80234615.4792393,1298161413.1617472,False,2,4617,2021,12
2016,174,3,6,3,349832000,2,0,689,84274495.2724997,3236238137.971693,False,2,5515,2019,12
2019,213,4,4,2,433255000,2,47,974,23876310.513668668,2490906531.577321,False,2,11339,2022,5
2016,69,2,5,2,146857000,3,58,667,11063688.570563417,433307941.8350419,False,2,160,2018,7
2020,105,3,6,6,630955000,0,81,722,243372086.0586118,4206545513.4550266,False,2,12606,2021,11
2007,6,2,4,6,178090000,4,74,700,86013489.12102403,890265612.0590117,False,2,11433,2021,7
2014,85,1,1,5,945206000,6,122,231,142365157.66462797,9173961788.91602,True,1,7895,2020,7
2016,219,3,0,3,284548000,2,137,69,15783739.158817038,2776912643.056042,False,2,6605,2019,10
2015,242,5,3,4,566086000,6,54,657,47103140.96516135,3640405251.5168486,False,2,15748,2023,2
2008,229,3,4,3,448584000,3,241,356,218095323.88717103,2774394586.633776,False,2,3365,2021,7
2009,65,5,2,4,2183103000,0,246,966,555694632.9529741,15326397418.446074,False,2,11169,2023,5
2023,12,4,5,6,1270852000,0,222,791,397702255.3712431,11703611679.587955,False,2,9903,2018,9
2020,205,5,0,3,4919824000,1,142,417,860091170.5305357,17243831972.134354,False,2,160,2025,1
2019,61,2,6,4,181838000,1,123,753,47034995.75086442,877698899.5184112,False,2,15718,2023,12
2015,65,1,6,2,191943000,4,111,101,93759868.15554014,1898255991.4211876,True,0,7316,2025,5
2010,220,2,0,4,522005000,1,7,969,190100007.48709467,3282769869.7077007,False,2,7839,2019,5
2014,72,2,0,6,1258544000,6,159,10,450721138.9737922,4154372586.487015,False,2,5179,2022,9
2006,84,2,3,4,234546000,3,192,77,107871747.33643174,2012474561.4292607,False,2,6718,2023,10
2017,142,0,5,0,103543000,5,87,205,48637027.40836607,924484826.4843264,False,2,5262,2021,5
2015,129,2,0,4,3317111000,5,122,328,233353456.60657543,7333919449.132433,False,2,9814,2018,6
2023,38,0,6,5,1619105000,1,223,428,800281922.8095129,5186535923.761424,False,2,9559,2016,12
2013,20,5,5,0,264053000,5,143,599,83799549.00139481,1332708986.927929,False,2,4003,2016,1
2005,179,2,2,4,390041000,4,134,795,92310526.08007838,1633201741.9433968,False,2,185,2017,5
2015,146,5,6,4,1726485000,1,148,936,130123402.20091918,15396411694.149649,False,2,11872,2023,4
2012,228,0,0,3,444973000,1,241,708,176229036.6928028,4253107928.983789,False,2,13146,2018,10
2014,4,4,0,5,465878000,4,81,979,201418312.183305,1853628311.5513396,False,2,17013,2024,9
2007,218,0,6,5,136710000,6,124,849,65528242.17144297,936381074.2062384,False,2,3681,2023,4
2006,206,5,0,3,378277000,3,0,425,57834491.541845016,2789265358.3599544,False,2,1888,2021,8
2020,155,2,1,3,81836000,1,68,62,8273694.601861979,603342912.2762588,False,2,11055,2024,10
2012,186,3,1,5,1803869000,0,148,905,512548569.4547312,14753027639.854208,False,2,16405,2024,2
2010,229,5,5,6,1618851000,0,37,583,482997272.0356116,10502301969.264254,False,2,18209,2022,12
2009,39,3,6,3,476523000,2,37,168,211811672.11480317,2491196926.8490405,False,2,3600,2020,12
2023,131,5,5,3,899787000,5,165,337,330074170.0344132,3332553071.932946,True,2,4346,2022,1
2020,176,0,4,1,1993684000,4,148,773,222030933.02018008,4219347737.819244,False,2,17801,2019,4
2016,109,5,4,2,1417304000,0,50,417,321033274.343214,7794887655.071354,False,2,3450,2023,2
2012,201,1,6,2,63920000,6,60,936,29203220.68841818,305923915.61703485,False,2,7558,2023,7
2021,229,2,0,5,2309618000,0,11,926,527618956.5186793,16113497123.255203,False,2,4713,2020,4
2019,213,4,1,3,479982000,5,25,458,210262675.9432561,4605986463.875539,False,2,3973,2024,9
2006,237,3,6,5,67933000,1,20,838,17432361.19784021,668478423.4949465,True,1,1382,2023,1
2016,28,5,3,4,416190000,0,148,34,113069726.04250158,1926965061.4844644,False,2,4985,2024,3
2017,59,2,5,6,105354000,4,31,989,8864327.281302081,319331953.7773963,False,2,11416,2020,9
2010,17,3,6,4,924159000,6,74,5,99458571.51841922,2971375930.669028,False,2,12556,2017,4
2012,92,1,6,3,662157000,1,222,785,87302776.97046806,3155402090.5910344,True,2,8605,2016,1
2008,166,3,3,4,157335000,6,77,760,71360042.01265307,911236037.3660722,True,0,5675,2019,2
2009,181,3,2,3,149597000,6,67,793,20424487.15602433,348104579.1009315,False,2,8433,2024,4
2018,108,0,2,2,770235000,5,146,571,97065614.2374249,3257110238.2742453,False,2,11641,2018,8
2018,242,2,4,3,393276000,3,172,309,56179544.747890405,1932620750.9883437,False,2,11958,2018,10
2018,93,2,0,4,141667000,4,37,210,39176276.52958775,1065783313.4994904,False,2,13079,2025,3
2007,188,3,1,6,204905000,0,179,621,90795532.58766964,1919340873.8477693,False,2,7532,2022,6
2022,69,1,6,3,559824000,1,13,961,43378008.50900517,2359670019.970881,False,2,12581,2024,7
2011,89,2,4,4,869422000,2,161,548,115663085.16088712,3194947259.152395,False,2,18393,2024,1
2019,135,4,5,0,1017906000,4,118,322,220592899.31878403,5981402830.110814,False,2,3618,2016,12
2022,55,3,0,5,83557000,1,111,339,21569455.97417185,666765433.4211384,False,2,12525,2016,4
2013,33,2,1,4,1989834000,4,142,816,132338767.9532745,7998128917.694721,False,2,6234,2023,6
2022,7,5,3,4,834187000,2,74,686,233784951.68276355,5219431215.464143,True,1,4034,2025,3
2011,230,3,6,3,623046000,5,258,677,61200191.83974096,3476159883.999089,False,2,6019,2020,10
2018,62,4,3,4,75577000,1,42,834,12935718.049457612,379266041.55966455,False,2,3710,2024,8
2011,12,3,0,3,553385000,1,93,82,32667444.9020022,2532640232.369977,False,2,12817,2024,5
2007,223,5,5,5,217243000,0,148,390,22570018.161264315,1982172544.398216,False,2,873,2016,2
2018,50,5,5,3,134632000,2,185,943,42694042.643099904,1000695227.4484874,True,1,16933,2016,11
2023,72,5,3,3,438550000,2,13,603,39081001.55333285,2761484591.316193,True,2,3329,2020,4
2017,9,5,0,3,2253373000,2,143,514,707736018.7871281,17944771474.08933,False,2,130,2021,2
2007,126,0,0,5,141355000,5,81,32,25118664.423880413,693297984.0594325,False,2,12694,2025,4
2010,5,5,0,5,358838000,0,51,86,122242742.9702271,2356211562.326264,False,2,10709,2015,10
2008,86,4,3,0,94995000,4,81,106,9100721.693958864,306156831.414525,True,1,12504,2022,9
2005,27,4,2,4,821811000,5,84,14,132049395.02463049,2700019760.318469,False,2,2121,2017,11
2017,149,1,4,3,230583000,1,112,173,29518801.675732706,2115396895.25308,False,2,18175,2018,7
2012,51,5,1,4,171033000,5,148,111,14726828.199786443,1059736051.938955,True,1,14553,2024,4
2015,36,2,5,6,595706000,6,123,619,59819310.8147148,3087451739.8811407,False,2,13114,2024,1
2017,56,0,2,5,418628000,6,204,335,203562760.8435405,3735860136.789961,False,2,13795,2017,6
2022,26,4,1,4,234580000,6,148,818,29768064.612482738,1723962612.238984,False,2,16405,2020,11
2009,214,5,2,3,1015539000,6,222,435,475494853.1801877,6554393452.867785,False,2,12734,2017,6
2020,138,3,6,4,70520000,2,174,811,27945088.741912927,246562601.1862124,False,2,2252,2019,6
2016,210,1,1,4,804275000,5,239,992,157360953.03656042,4345893133.345749,False,2,1799,2017,4
2021,89,5,0,4,73844000,6,132,402,7508204.718718785,508413011.3124793,False,2,13689,2021,7
2008,94,0,6,6,466444000,0,74,965,83905695.39901903,3101808647.625992,False,2,18455,2024,7
2021,49,2,2,4,411396000,4,249,70,119167122.98729648,993351966.0367932,False,2,1207,2023,8
2008,141,5,5,2,116761000,6,185,180,23524063.45679016,359077136.7525726,False,2,6643,2020,11
2017,145,5,4,3,1338315000,6,149,757,220270983.546075,9973152525.544945,False,2,12865,2022,11
2017,112,4,1,3,234549000,1,79,106,91967257.93916976,1586749767.7666342,False,2,14653,2018,10
2019,133,4,2,5,29179000,4,234,399,6039782.217256126,275339847.20005846,False,2,14580,2018,8
2019,23,3,4,5,184133000,6,198,88,78031649.53638007,1789812401.1340556,False,2,2422,2017,6
2010,115,0,1,2,665478000,4,204,590,314274118.7359578,2295808947.2463293,False,2,12457,2020,4
2022,27,1,6,3,227662000,3,93,636,18195502.949564885,1805124074.0693877,True,0,12243,2023,3
2011,27,2,0,4,1598474000,4,247,427,180463829.4798992,13366660968.46341,False,2,12265,2022,12
2012,203,0,3,3,585290000,5,130,581,82369204.36783499,1936869494.3989456,False,2,6045,2018,4
2022,89,0,0,5,682759000,0,177,437,238514175.1423926,4222539010.799513,True,2,17026,2023,2
2013,180,0,5,5,278429000,4,74,833,58880415.7888102,2510762555.024424,False,2,9942,2021,2
2011,175,1,5,2,1658353000,1,67,174,410625961.8644664,8317561402.96067,False,2,17896,2025,6
2009,2,2,3,0,282411000,2,145,257,72920187.42783265,1245721414.564556,True,0,11679,2017,2
2009,71,3,1,3,451468000,4,149,650,69749870.47364448,4151969067.576984,False,2,15747,2019,4
2013,195,5,2,4,2797065000,4,186,891,623049164.5996177,17756951467.774387,False,2,13079,2019,6
2007,172,3,6,3,573307000,4,148,276,58823659.26097554,5457112682.339765,False,2,14125,2022,7
2015,121,5,5,1,1032973000,0,94,129,343431111.8174038,4833533659.913394,False,2,12902,2016,9
2018,143,1,1,6,642002000,6,118,97,211239677.2532279,4023868703.767859,False,2,2967,2024,7
2017,191,5,2,5,280179000,2,148,673,126711418.51198542,2327945024.3494225,True,1,7894,2021,10
2007,32,1,0,3,266920000,6,7,714,43193024.53967474,2122433155.3079915,False,2,15589,2016,4
2020,49,4,4,3,173715000,6,0,322,11307039.105056662,1139417092.859366,False,2,4954,2020,4
2007,141,3,0,1,749287000,6,148,361,152807183.2625433,6421433376.366228,False,2,16192,2023,5
2011,175,4,3,2,638597000,0,249,988,63721942.89597302,5601529153.158304,False,2,8402,2025,5
2012,228,3,0,4,328778000,5,105,29,134398829.09662154,1051872415.4310012,False,2,7432,2016,4
2017,77,0,1,1,150747000,2,148,397,23088882.034710757,1172513263.4203966,True,0,5201,2023,12
2016,96,0,4,3,1151489000,2,159,701,417157750.1669394,7302507812.367042,False,2,1789,2023,5
2011,3,4,3,0,1965391000,4,73,787,320967171.88288766,9366204354.949291,False,2,2143,2016,3
2007,73,0,3,4,62530000,3,185,336,16126650.305840429,598929017.8074144,False,2,18489,2023,3
2012,37,4,4,2,2293636000,4,148,628,272961334.4768992,15344054775.90143,False,2,10585,2016,10
2009,120,5,3,2,6519623000,1,218,172,379113356.9376609,58526598764.817566,False,2,1841,2023,3
2013,152,3,3,3,509988000,5,24,525,239415512.3912636,3325665136.258348,False,2,9016,2024,7
2008,0,3,1,5,750962000,3,191,881,276547302.6855663,2418332197.959836,False,2,1151,2020,5
2017,118,1,4,6,565956000,2,185,824,175067034.824956,3878904166.325245,False,2,8167,2016,12
2015,133,0,5,2,2552300000,1,185,691,1200768219.3077304,24003228123.93572,False,2,7369,2023,2
2017,237,4,6,6,252121000,2,38,568,63755782.92100154,732639514.8433365,False,2,8462,2016,7
2019,10,0,0,0,470381000,2,222,924,148675178.833511,2442228326.793086,False,2,3602,2022,1
2005,201,1,0,3,1474177000,2,2,779,110036606.79518557,6901474512.782635,False,2,2298,2022,5
2018,225,2,3,0,145319000,3,43,945,42408156.23050121,1360017986.5718875,False,2,14779,2021,11
2009,179,5,5,3,71658000,5,22,244,14751207.568924224,342211780.3318391,False,2,16687,2019,9
2013,176,1,3,0,305785000,3,15,170,46195603.60221607,1718363739.5250852,False,2,15482,2022,1
2011,17,2,2,4,2774341000,2,0,163,314570483.04988146,9463543188.245296,False,2,8613,2024,9
2009,1,4,1,3,22775000,1,186,695,10514776.92857169,111578168.41905056,False,2,1496,2018,5
2022,69,5,0,3,416764000,4,74,814,129723945.44687532,2941567949.523961,True,1,7192,2022,2
2011,45,2,2,5,329135000,6,185,602,29097953.351379,3283119655.0505266,False,2,0,2021,3
2011,160,5,6,5,130983000,0,7,966,36149704.06719772,885848525.7890503,False,2,9995,2020,5
2020,175,4,6,5,449244000,3,124,283,64896672.71908501,4126052009.644032,False,2,739,2023,4
2014,157,2,6,6,430827000,4,0,288,61312213.15047376,1518881349.042924,False,2,7445,2021,6
2016,47,2,0,5,426758000,1,196,278,129810612.55699946,1077849500.3613183,False,2,9245,2017,4
2006,120,2,0,3,243344000,5,111,104,97091196.5606638,1369128945.6233923,False,2,17442,2023,5
2012,114,3,5,0,23955000,4,87,182,5517875.605470796,155159473.09190688,False,2,14423,2016,9
2023,70,3,4,4,1469830000,3,192,181,176171046.8043526,5078887392.366915,False,2,493,2018,4
2012,210,4,0,4,94065000,1,126,736,31963267.665650107,495710638.43473953,False,2,876,2019,5
2008,18,3,5,3,188038000,0,235,407,11550019.795546968,610976976.8283496,False,2,18360,2018,11
2018,98,5,6,5,1238295000,3,219,807,77013524.41669549,4675526146.086093,False,2,16843,2016,4
2009,214,1,1,1,1791763000,6,174,188,275902221.84156466,13214506463.589508,False,2,11077,2021,6
2020,175,1,2,5,248458000,3,50,653,85403896.60909748,970343339.3064606,False,2,11401,2016,12
2019,65,4,2,3,757904000,6,37,264,71810363.20204543,2990217409.978002,False,2,1382,2024,2
2019,240,5,6,0,967099000,4,155,561,409662110.3612928,5007124354.483825,False,2,9275,2020,3
2006,124,0,3,3,721213000,0,37,176,252884908.5206864,2625124709.197844,False,2,2159,2022,8
2015,159,3,0,6,849507000,6,148,967,47445701.26612568,2280134764.164693,False,2,3488,2016,6
2011,149,2,1,4,314739000,6,70,306,45180410.42628247,696283754.5203371,False,2,16087,2023,10
2022,3,2,4,1,633330000,0,1,845,151771864.78203604,5789506198.211044,False,2,7034,2016,7
2014,158,4,6,6,111723000,1,161,918,46683411.17164672,528956879.8699344,False,2,10725,2019,2
2017,204,1,2,6,203867000,1,148,47,64347096.57054984,844928642.1090986,False,2,17721,2021,5
2008,137,4,1,3,93966000,5,99,234,31090249.32372828,495698202.4784168,False,2,6631,2017,4
2012,235,2,2,2,44796000,2,30,924,8175699.673997885,429487314.7094142,False,2,2794,2018,8
2010,15,1,5,3,2859342000,0,31,447,1125501653.4079614,8923735905.7792,False,2,10192,2023,7
2007,59,4,6,4,424472000,5,81,534,192094167.78438497,3565073281.6197505,False,2,9391,2017,1
2021,150,2,3,4,1489025000,3,199,949,359370342.3215352,3245708894.5709023,True,1,6498,2021,7
